17:44:24.958 [atcher-4] INFO     a.e.s.Slf4jLogger - Slf4jLogger started
17:44:37.797 [atcher-5] INFO     tph.LogFileReader - Known Card Drawn: some id=0 local=False [name=Friendly Card Five id=5 zone=HAND zonePos=5 cardId=some player=1] pos from 0 -> 5
17:44:37.798 [atcher-5] DEBUG       tph.GameStatus - received handled message KnownCardDrawn(Friendly Card Three,3,3,1)
17:44:37.798 [atcher-5] INFO     tph.LogFileReader - Known Card Drawn: some id=0 local=False [name=Friendly Card Six id=6 zone=HAND zonePos=6 cardId=some player=1] pos from 0 -> 6
17:44:37.798 [atcher-5] DEBUG       tph.GameStatus - received handled message KnownCardDrawn(Friendly Card Four,4,4,1)
17:44:37.799 [atcher-5] DEBUG       tph.GameStatus - received handled message KnownCardDrawn(Friendly Card Five,5,5,1)
17:44:37.799 [atcher-5] INFO     tph.LogFileReader - Known Card Drawn: some id=0 local=False [name=Friendly Card Seven id=7 zone=HAND zonePos=7 cardId=some player=1] pos from 0 -> 7
17:44:37.803 [atcher-5] DEBUG       tph.GameStatus - received handled message KnownCardDrawn(Friendly Card Six,6,6,1)
17:44:37.804 [atcher-5] DEBUG       tph.GameStatus - received handled message KnownCardDrawn(Friendly Card Seven,7,7,1)
17:44:37.805 [atcher-5] INFO     tph.LogFileReader - Known Card Drawn: some id=0 local=False [name=Friendly Card Eight id=8 zone=HAND zonePos=8 cardId=some player=1] pos from 0 -> 8
17:44:37.805 [atcher-5] DEBUG       tph.GameStatus - received handled message KnownCardDrawn(Friendly Card Eight,8,8,1)
17:44:37.805 [atcher-5] INFO     tph.LogFileReader - Known Card Drawn: some id=0 local=False [name=Friendly Card Nine id=9 zone=HAND zonePos=9 cardId=some player=1] pos from 0 -> 9
17:44:37.806 [atcher-5] DEBUG       tph.GameStatus - received handled message KnownCardDrawn(Friendly Card Nine,9,9,1)
17:44:37.806 [atcher-5] INFO     tph.LogFileReader - Known Card Drawn: some id=0 local=False [name=Friendly Card Ten id=10 zone=HAND zonePos=10 cardId=some player=1] pos from 0 -> 10
17:44:37.807 [atcher-5] INFO     tph.LogFileReader - Enemy Card Drawn: some id=0 local=false [id=11 cardId=some type=some zone=HAND zonePos=1 player=2] pos from 0 -> 1
17:44:37.807 [atcher-5] INFO     tph.LogFileReader - Enemy Card Drawn: some id=0 local=false [id=12 cardId=some type=some zone=HAND zonePos=2 player=2] pos from 0 -> 2
17:44:37.807 [atcher-5] INFO     tph.LogFileReader - Enemy Card Drawn: some id=0 local=false [id=13 cardId=some type=some zone=HAND zonePos=3 player=2] pos from 0 -> 3
17:44:37.808 [atcher-5] INFO     tph.LogFileReader - Enemy Card Drawn: some id=0 local=false [id=14 cardId=some type=some zone=HAND zonePos=4 player=2] pos from 0 -> 4
17:44:37.808 [atcher-5] DEBUG       tph.GameStatus - received handled message KnownCardDrawn(Friendly Card Ten,10,10,1)
17:44:37.809 [atcher-5] INFO     tph.LogFileReader - Enemy Card Drawn: some id=0 local=false [id=15 cardId=some type=some zone=HAND zonePos=5 player=2] pos from 0 -> 5
17:44:37.809 [atcher-5] DEBUG       tph.GameStatus - received handled message EnemyCardDrawnEvent(11,1,2)
17:44:37.809 [atcher-5] INFO     tph.LogFileReader - Enemy Card Drawn: some id=0 local=false [id=16 cardId=some type=some zone=HAND zonePos=6 player=2] pos from 0 -> 6
17:44:37.810 [atcher-5] INFO     tph.LogFileReader - Enemy Card Drawn: some id=0 local=false [id=17 cardId=some type=some zone=HAND zonePos=7 player=2] pos from 0 -> 7
17:44:37.810 [atcher-5] INFO     tph.LogFileReader - Enemy Card Drawn: some id=0 local=false [id=18 cardId=some type=some zone=HAND zonePos=8 player=2] pos from 0 -> 8
17:44:37.811 [atcher-5] DEBUG       tph.GameStatus - received handled message EnemyCardDrawnEvent(12,2,2)
17:44:37.811 [atcher-5] INFO     tph.LogFileReader - Enemy Card Drawn: some id=0 local=false [id=19 cardId=some type=some zone=HAND zonePos=9 player=2] pos from 0 -> 9
17:44:37.811 [atcher-5] DEBUG       tph.GameStatus - received handled message EnemyCardDrawnEvent(13,3,2)
17:44:37.811 [atcher-5] INFO     tph.LogFileReader - Enemy Card Drawn: some id=0 local=false [id=20 cardId=some type=some zone=HAND zonePos=10 player=2] pos from 0 -> 10
17:44:37.812 [atcher-5] DEBUG       tph.GameStatus - received handled message EnemyCardDrawnEvent(14,4,2)
17:44:37.812 [atcher-5] DEBUG       tph.GameStatus - received handled message EnemyCardDrawnEvent(15,5,2)
17:44:37.812 [atcher-5] DEBUG       tph.GameStatus - received handled message EnemyCardDrawnEvent(16,6,2)
17:44:37.813 [atcher-5] DEBUG       tph.GameStatus - received handled message EnemyCardDrawnEvent(17,7,2)
17:44:37.813 [atcher-5] DEBUG       tph.GameStatus - received handled message EnemyCardDrawnEvent(18,8,2)
17:44:37.813 [atcher-5] DEBUG       tph.GameStatus - received handled message EnemyCardDrawnEvent(19,9,2)
17:44:37.814 [atcher-5] INFO     tph.LogFileReader - Minion Summoned: some FULL_ENTITY - Updating [name=Friendly Minion One id=21 zone=PLAY zonePos=1 some player=1 some
17:44:37.814 [atcher-5] DEBUG       tph.GameStatus - received handled message EnemyCardDrawnEvent(20,10,2)
17:44:37.814 [atcher-5] INFO     tph.LogFileReader - Minion Summoned: some FULL_ENTITY - Updating [name=Friendly Minion Two id=22 zone=PLAY zonePos=2 some player=1 some
17:44:37.815 [atcher-5] INFO     tph.LogFileReader - Minion Summoned: some FULL_ENTITY - Updating [name=Friendly Minion Three id=23 zone=PLAY zonePos=3 some player=1 some
17:44:37.815 [atcher-5] DEBUG       tph.GameStatus - received handled message MinionSummoned(Friendly Minion One,21,1,1)
17:44:37.815 [atcher-5] DEBUG       tph.GameStatus - received handled message MinionSummoned(Friendly Minion Two,22,2,1)
17:44:37.816 [atcher-5] INFO     tph.LogFileReader - Minion Summoned: some FULL_ENTITY - Updating [name=Friendly Minion Four id=24 zone=PLAY zonePos=4 some player=1 some
17:44:37.816 [atcher-5] DEBUG       tph.GameStatus - received handled message MinionSummoned(Friendly Minion Three,23,3,1)
17:44:37.816 [atcher-5] DEBUG       tph.GameStatus - received handled message MinionSummoned(Friendly Minion Four,24,4,1)
17:44:37.816 [atcher-5] INFO     tph.LogFileReader - Minion Summoned: some FULL_ENTITY - Updating [name=Friendly Minion Five id=25 zone=PLAY zonePos=5 some player=1 some
17:44:37.817 [atcher-5] DEBUG       tph.GameStatus - received handled message MinionSummoned(Friendly Minion Five,25,5,1)
17:44:37.817 [atcher-5] INFO     tph.LogFileReader - Minion Summoned: some FULL_ENTITY - Updating [name=Enemy Minion One id=31 zone=PLAY zonePos=1 some player=2 some
17:44:37.817 [atcher-5] INFO     tph.LogFileReader - Minion Summoned: some FULL_ENTITY - Updating [name=Enemy Minion Two id=32 zone=PLAY zonePos=2 some player=2 some
17:44:37.817 [atcher-5] DEBUG       tph.GameStatus - received handled message MinionSummoned(Enemy Minion One,31,1,2)
17:44:37.818 [atcher-5] INFO     tph.LogFileReader - Minion Summoned: some FULL_ENTITY - Updating [name=Enemy Minion Three id=33 zone=PLAY zonePos=3 some player=2 some
17:44:37.818 [atcher-5] DEBUG       tph.GameStatus - received handled message MinionSummoned(Enemy Minion Two,32,2,2)
17:44:37.818 [atcher-5] INFO     tph.LogFileReader - Minion Summoned: some FULL_ENTITY - Updating [name=Enemy Minion Four id=34 zone=PLAY zonePos=4 some player=2 some
17:44:37.818 [atcher-5] DEBUG       tph.GameStatus - received handled message MinionSummoned(Enemy Minion Three,33,3,2)
17:44:37.818 [atcher-5] DEBUG       tph.GameStatus - received handled message MinionSummoned(Enemy Minion Four,34,4,2)
17:44:37.819 [atcher-5] INFO     tph.LogFileReader - Minion Summoned: some FULL_ENTITY - Updating [name=Enemy Minion Five id=35 zone=PLAY zonePos=5 some player=2 some
17:44:37.819 [atcher-5] DEBUG       tph.GameStatus - received handled message MinionSummoned(Enemy Minion Five,35,5,2)
17:44:39.675 [atcher-9] DEBUG       tph.Controller - received handled message GetGameStatus
17:44:41.676 [atcher-5] DEBUG       tph.Controller - received handled message GetGameStatus
17:44:41.677 [atcher-5] DEBUG       tph.GameStatus - received handled message GetGameStatus
17:44:41.681 [tcher-10] INFO  a.DeadLetterActorRef - Message [scala.None$] from Actor[akka://TwitchPlaysHearthstone/user/logFileReader#-929163595] to Actor[akka://TwitchPlaysHearthstone/deadLetters] was not delivered. [1] dead letters encountered. This logging can be turned off or adjusted with configuration settings 'akka.log-dead-letters' and 'akka.log-dead-letters-during-shutdown'.
17:44:41.682 [tcher-10] DEBUG         tph.ircLogic - received handled message Activate
17:44:41.683 [tcher-10] DEBUG         tph.ircLogic - received handled message ChangeMenu(mainMenu,inGame)
17:44:41.683 [tcher-10] DEBUG         tph.ircLogic - received handled message Check
17:44:44.703 [tcher-10] DEBUG         tph.ircLogic - received handled message Check
17:44:47.724 [atcher-2] DEBUG         tph.ircLogic - received handled message Check
17:44:47.761 [atcher-6] DEBUG  t.research.IrcVoter - connected to irc.freenode.net
17:44:47.762 [atcher-6] DEBUG  t.research.IrcVoter - voter1 joined #tph
17:44:47.762 [atcher-6] DEBUG  t.research.IrcVoter - nickname = voter2
17:44:50.743 [tcher-10] DEBUG         tph.ircLogic - received handled message Check
17:44:53.764 [atcher-2] DEBUG         tph.ircLogic - received handled message Check
17:44:56.784 [tcher-10] DEBUG         tph.ircLogic - received handled message Check
17:44:57.618 [atcher-6] DEBUG  t.research.IrcVoter - connected to irc.freenode.net
17:44:57.619 [atcher-6] DEBUG  t.research.IrcVoter - voter2 joined #tph
17:44:57.620 [atcher-6] DEBUG  t.research.IrcVoter - nickname = voter3
17:44:59.806 [atcher-2] DEBUG         tph.ircLogic - received handled message Check
17:45:02.823 [tcher-10] DEBUG         tph.ircLogic - received handled message Check
17:45:05.833 [atcher-2] DEBUG         tph.ircLogic - received handled message Check
17:45:07.609 [atcher-6] DEBUG  t.research.IrcVoter - connected to irc.freenode.net
17:45:07.610 [atcher-6] DEBUG  t.research.IrcVoter - voter3 joined #tph
17:45:07.611 [atcher-6] DEBUG  t.research.IrcVoter - nickname = voter4
17:45:08.844 [tcher-10] DEBUG         tph.ircLogic - received handled message Check
17:45:11.864 [atcher-2] DEBUG         tph.ircLogic - received handled message Check
17:45:14.886 [atcher-2] DEBUG         tph.ircLogic - received handled message Check
17:45:17.734 [atcher-6] DEBUG  t.research.IrcVoter - connected to irc.freenode.net
17:45:17.734 [atcher-6] DEBUG  t.research.IrcVoter - voter4 joined #tph
17:45:17.735 [atcher-6] DEBUG  t.research.IrcVoter - nickname = voter5
17:45:17.907 [atcher-2] DEBUG         tph.ircLogic - received handled message Check
17:45:20.928 [tcher-10] DEBUG         tph.ircLogic - received handled message Check
17:45:23.948 [atcher-2] DEBUG         tph.ircLogic - received handled message Check
17:45:26.969 [atcher-2] DEBUG         tph.ircLogic - received handled message Check
17:45:27.609 [atcher-6] DEBUG  t.research.IrcVoter - connected to irc.freenode.net
17:45:27.610 [atcher-6] DEBUG  t.research.IrcVoter - voter5 joined #tph
17:45:29.988 [tcher-10] DEBUG         tph.ircLogic - received handled message Check
17:45:33.009 [atcher-2] DEBUG         tph.ircLogic - received handled message Check
17:45:36.029 [tcher-10] DEBUG         tph.ircLogic - received handled message Check
17:45:37.948 [d-Thread] DEBUG           tph.IrcBot - IRC message: sender=voter1, login=~PircBot message=!play 1
17:45:37.950 [atcher-2] DEBUG         tph.ircLogic - received handled message CommandVote(tph.Command@fe62ebe)
17:45:38.462 [d-Thread] DEBUG           tph.IrcBot - IRC message: sender=voter2, login=~PircBot message=!play 1
17:45:38.463 [atcher-2] DEBUG         tph.ircLogic - received handled message CommandVote(tph.Command@2b2c3929)
17:45:38.952 [d-Thread] DEBUG           tph.IrcBot - IRC message: sender=voter1, login=~PircBot message=!play 1
17:45:38.952 [tcher-10] DEBUG         tph.ircLogic - received handled message CommandVote(tph.Command@68e45729)
17:45:39.049 [atcher-2] DEBUG         tph.ircLogic - received handled message Check
17:45:39.387 [d-Thread] DEBUG           tph.IrcBot - IRC message: sender=voter3, login=~PircBot message=!play 1
17:45:39.388 [tcher-10] DEBUG         tph.ircLogic - received handled message CommandVote(tph.Command@61af7006)
17:45:39.779 [d-Thread] DEBUG           tph.IrcBot - IRC message: sender=voter2, login=~PircBot message=!play 2
17:45:39.779 [d-Thread] DEBUG           tph.IrcBot - IRC message: sender=voter4, login=~PircBot message=!play 1
17:45:39.780 [atcher-2] DEBUG         tph.ircLogic - received handled message CommandVote(tph.Command@1501712c)
17:45:39.781 [tcher-10] DEBUG         tph.ircLogic - received handled message CommandVote(tph.Command@445e6fb)
17:45:41.243 [d-Thread] DEBUG           tph.IrcBot - IRC message: sender=voter3, login=~PircBot message=!play 3
17:45:41.243 [d-Thread] DEBUG           tph.IrcBot - IRC message: sender=voter5, login=~PircBot message=!play 1
17:45:41.243 [d-Thread] DEBUG           tph.IrcBot - IRC message: sender=voter4, login=~PircBot message=!play 4
17:45:41.243 [d-Thread] DEBUG           tph.IrcBot - IRC message: sender=voter1, login=~PircBot message=!play 2
17:45:41.243 [atcher-2] DEBUG         tph.ircLogic - received handled message CommandVote(tph.Command@1a58e1b2)
17:45:41.244 [atcher-2] DEBUG         tph.ircLogic - received handled message CommandVote(tph.Command@50f766a1)
17:45:41.244 [atcher-2] DEBUG         tph.ircLogic - received handled message CommandVote(tph.Command@4ee1e582)
17:45:41.244 [atcher-2] DEBUG         tph.ircLogic - received handled message CommandVote(tph.Command@65b8a09b)
17:45:41.388 [d-Thread] DEBUG           tph.IrcBot - IRC message: sender=voter5, login=~PircBot message=!play 5
17:45:41.389 [tcher-10] DEBUG         tph.ircLogic - received handled message CommandVote(tph.Command@67764052)
17:45:42.059 [atcher-2] DEBUG         tph.ircLogic - received handled message Check
17:45:43.361 [tcher-10] DEBUG         tph.ircLogic - received handled message Direct Decide
17:45:43.375 [atcher-6] DEBUG       tph.Controller - received handled message GetGameStatus
17:45:43.376 [atcher-6] DEBUG       tph.GameStatus - received handled message GetGameStatus
17:45:43.376 [atcher-6] INFO  a.DeadLetterActorRef - Message [scala.None$] from Actor[akka://TwitchPlaysHearthstone/user/logFileReader#-929163595] to Actor[akka://TwitchPlaysHearthstone/deadLetters] was not delivered. [2] dead letters encountered. This logging can be turned off or adjusted with configuration settings 'akka.log-dead-letters' and 'akka.log-dead-letters-during-shutdown'.
17:45:43.379 [atcher-9] DEBUG    t.r.ircLogicTests - received handled message CardPlay(1)
17:45:43.379 [atcher-9] DEBUG       tph.Controller - received handled message GetGameStatus
17:45:43.380 [atcher-9] DEBUG       tph.GameStatus - received handled message GetGameStatus
17:45:43.380 [atcher-8] INFO  a.DeadLetterActorRef - Message [scala.None$] from Actor[akka://TwitchPlaysHearthstone/user/logFileReader#-929163595] to Actor[akka://TwitchPlaysHearthstone/deadLetters] was not delivered. [3] dead letters encountered. This logging can be turned off or adjusted with configuration settings 'akka.log-dead-letters' and 'akka.log-dead-letters-during-shutdown'.
17:45:43.382 [tcher-11] DEBUG    tph.LogFileReader - Reader file changed to testsituations/normalsetupcommands.txt
17:45:43.451 [tcher-11] INFO     tph.LogFileReader - Hand_Position_Change: [Zone] ZoneChangeList.ProcessChanges() - processing index=55 change=powerTask=[power=[type=TAG_CHANGE entity=[id=55 cardId=some name=some tag=ZONE_POSITION value=55] complete=False] entity=some id=2 some zone=HAND zonePos=2 player=1 dstPos=1
17:45:43.451 [tcher-10] DEBUG       tph.GameStatus - received handled message HandPositionChange(2,2,1,1)
17:45:43.452 [tcher-10] INFO     tph.LogFileReader - Hand_Position_Change: [Zone] ZoneChangeList.ProcessChanges() - processing index=55 change=powerTask=[power=[type=TAG_CHANGE entity=[id=55 cardId=some name=some tag=ZONE_POSITION value=55] complete=False] entity=some id=3 some zone=HAND zonePos=3 player=1 dstPos=2
17:45:43.452 [tcher-10] INFO     tph.LogFileReader - Hand_Position_Change: [Zone] ZoneChangeList.ProcessChanges() - processing index=55 change=powerTask=[power=[type=TAG_CHANGE entity=[id=55 cardId=some name=some tag=ZONE_POSITION value=55] complete=False] entity=some id=4 some zone=HAND zonePos=4 player=1 dstPos=3
17:45:43.452 [tcher-10] INFO     tph.LogFileReader - Hand_Position_Change: [Zone] ZoneChangeList.ProcessChanges() - processing index=55 change=powerTask=[power=[type=TAG_CHANGE entity=[id=55 cardId=some name=some tag=ZONE_POSITION value=55] complete=False] entity=some id=5 some zone=HAND zonePos=5 player=1 dstPos=4
17:45:43.452 [tcher-10] INFO     tph.LogFileReader - Hand_Position_Change: [Zone] ZoneChangeList.ProcessChanges() - processing index=55 change=powerTask=[power=[type=TAG_CHANGE entity=[id=55 cardId=some name=some tag=ZONE_POSITION value=55] complete=False] entity=some id=6 some zone=HAND zonePos=6 player=1 dstPos=5
17:45:43.452 [tcher-10] DEBUG       tph.GameStatus - received handled message HandPositionChange(3,3,1,2)
17:45:43.453 [tcher-10] DEBUG       tph.GameStatus - received handled message HandPositionChange(4,4,1,3)
17:45:43.453 [tcher-10] DEBUG       tph.GameStatus - received handled message HandPositionChange(5,5,1,4)
17:45:43.453 [tcher-10] INFO     tph.LogFileReader - Hand_Position_Change: [Zone] ZoneChangeList.ProcessChanges() - processing index=55 change=powerTask=[power=[type=TAG_CHANGE entity=[id=55 cardId=some name=some tag=ZONE_POSITION value=55] complete=False] entity=some id=7 some zone=HAND zonePos=7 player=1 dstPos=6
17:45:43.454 [tcher-10] DEBUG       tph.GameStatus - received handled message HandPositionChange(6,6,1,5)
17:45:43.454 [tcher-10] DEBUG       tph.GameStatus - received handled message HandPositionChange(7,7,1,6)
17:45:43.454 [tcher-10] INFO     tph.LogFileReader - Hand_Position_Change: [Zone] ZoneChangeList.ProcessChanges() - processing index=55 change=powerTask=[power=[type=TAG_CHANGE entity=[id=55 cardId=some name=some tag=ZONE_POSITION value=55] complete=False] entity=some id=8 some zone=HAND zonePos=8 player=1 dstPos=7
17:45:43.454 [tcher-10] DEBUG       tph.GameStatus - received handled message HandPositionChange(8,8,1,7)
17:45:43.454 [tcher-10] INFO     tph.LogFileReader - Hand_Position_Change: [Zone] ZoneChangeList.ProcessChanges() - processing index=55 change=powerTask=[power=[type=TAG_CHANGE entity=[id=55 cardId=some name=some tag=ZONE_POSITION value=55] complete=False] entity=some id=9 some zone=HAND zonePos=9 player=1 dstPos=8
17:45:43.454 [tcher-10] DEBUG       tph.GameStatus - received handled message HandPositionChange(9,9,1,8)
17:45:43.454 [tcher-10] INFO     tph.LogFileReader - Hand_Position_Change: [Zone] ZoneChangeList.ProcessChanges() - processing index=55 change=powerTask=[power=[type=TAG_CHANGE entity=[id=55 cardId=some name=some tag=ZONE_POSITION value=55] complete=False] entity=some id=10 some zone=HAND zonePos=10 player=1 dstPos=9
17:45:43.455 [tcher-10] INFO     tph.LogFileReader - Card Played: [Power] PowerProcessor.DoTaskListForCard() - unhandled BlockType PLAY for sourceEntity [name=Friendly Card One id=1 zone=PLAY zonePos=6 cardId=.+ player=1]
17:45:43.455 [tcher-10] DEBUG       tph.GameStatus - received handled message HandPositionChange(10,10,1,9)
17:45:43.455 [tcher-10] DEBUG       tph.GameStatus - received handled message CardPlayed(Friendly Card One,1,6,1)
17:45:47.379 [atcher-6] DEBUG       tph.Controller - received handled message GetGameStatus
17:45:48.370 [atcher-8] DEBUG    t.r.ircLogicTests - received handled message Full Test
17:45:49.380 [atcher-6] DEBUG       tph.Controller - received handled message GetGameStatus
17:45:49.380 [atcher-6] DEBUG       tph.GameStatus - received handled message GetGameStatus
17:45:49.381 [atcher-6] INFO  a.DeadLetterActorRef - Message [scala.None$] from Actor[akka://TwitchPlaysHearthstone/user/logFileReader#-929163595] to Actor[akka://TwitchPlaysHearthstone/deadLetters] was not delivered. [4] dead letters encountered. This logging can be turned off or adjusted with configuration settings 'akka.log-dead-letters' and 'akka.log-dead-letters-during-shutdown'.
17:45:49.392 [atcher-6] DEBUG       tph.Controller - received handled message GetGameStatus
17:45:49.392 [atcher-6] DEBUG       tph.GameStatus - received handled message GetGameStatus
17:45:49.393 [atcher-6] INFO  a.DeadLetterActorRef - Message [scala.None$] from Actor[akka://TwitchPlaysHearthstone/user/logFileReader#-929163595] to Actor[akka://TwitchPlaysHearthstone/deadLetters] was not delivered. [5] dead letters encountered. This logging can be turned off or adjusted with configuration settings 'akka.log-dead-letters' and 'akka.log-dead-letters-during-shutdown'.
17:45:49.394 [tcher-11] DEBUG    t.r.ircLogicTests - received handled message CardPlay(1)
17:45:49.394 [tcher-11] DEBUG       tph.Controller - received handled message GetGameStatus
17:45:49.394 [tcher-11] DEBUG       tph.GameStatus - received handled message GetGameStatus
17:45:49.394 [tcher-11] INFO  a.DeadLetterActorRef - Message [scala.None$] from Actor[akka://TwitchPlaysHearthstone/user/logFileReader#-929163595] to Actor[akka://TwitchPlaysHearthstone/deadLetters] was not delivered. [6] dead letters encountered. This logging can be turned off or adjusted with configuration settings 'akka.log-dead-letters' and 'akka.log-dead-letters-during-shutdown'.
17:45:49.502 [atcher-3] INFO     tph.LogFileReader - Hand_Position_Change: [Zone] ZoneChangeList.ProcessChanges() - processing index=55 change=powerTask=[power=[type=TAG_CHANGE entity=[id=55 cardId=some name=some tag=ZONE_POSITION value=55] complete=False] entity=some id=3 some zone=HAND zonePos=2 player=1 dstPos=1
17:45:49.502 [atcher-3] INFO     tph.LogFileReader - Hand_Position_Change: [Zone] ZoneChangeList.ProcessChanges() - processing index=55 change=powerTask=[power=[type=TAG_CHANGE entity=[id=55 cardId=some name=some tag=ZONE_POSITION value=55] complete=False] entity=some id=4 some zone=HAND zonePos=3 player=1 dstPos=2
17:45:49.502 [atcher-3] DEBUG       tph.GameStatus - received handled message HandPositionChange(3,2,1,1)
17:45:49.502 [atcher-3] DEBUG       tph.GameStatus - received handled message HandPositionChange(4,3,1,2)
17:45:49.502 [atcher-3] INFO     tph.LogFileReader - Hand_Position_Change: [Zone] ZoneChangeList.ProcessChanges() - processing index=55 change=powerTask=[power=[type=TAG_CHANGE entity=[id=55 cardId=some name=some tag=ZONE_POSITION value=55] complete=False] entity=some id=5 some zone=HAND zonePos=4 player=1 dstPos=3
17:45:49.503 [atcher-3] DEBUG       tph.GameStatus - received handled message HandPositionChange(5,4,1,3)
17:45:49.503 [atcher-3] INFO     tph.LogFileReader - Hand_Position_Change: [Zone] ZoneChangeList.ProcessChanges() - processing index=55 change=powerTask=[power=[type=TAG_CHANGE entity=[id=55 cardId=some name=some tag=ZONE_POSITION value=55] complete=False] entity=some id=6 some zone=HAND zonePos=5 player=1 dstPos=4
17:45:49.503 [atcher-3] INFO     tph.LogFileReader - Hand_Position_Change: [Zone] ZoneChangeList.ProcessChanges() - processing index=55 change=powerTask=[power=[type=TAG_CHANGE entity=[id=55 cardId=some name=some tag=ZONE_POSITION value=55] complete=False] entity=some id=7 some zone=HAND zonePos=6 player=1 dstPos=5
17:45:49.503 [atcher-3] INFO     tph.LogFileReader - Hand_Position_Change: [Zone] ZoneChangeList.ProcessChanges() - processing index=55 change=powerTask=[power=[type=TAG_CHANGE entity=[id=55 cardId=some name=some tag=ZONE_POSITION value=55] complete=False] entity=some id=8 some zone=HAND zonePos=7 player=1 dstPos=6
17:45:49.503 [atcher-3] INFO     tph.LogFileReader - Hand_Position_Change: [Zone] ZoneChangeList.ProcessChanges() - processing index=55 change=powerTask=[power=[type=TAG_CHANGE entity=[id=55 cardId=some name=some tag=ZONE_POSITION value=55] complete=False] entity=some id=9 some zone=HAND zonePos=8 player=1 dstPos=7
17:45:49.503 [atcher-3] INFO     tph.LogFileReader - Hand_Position_Change: [Zone] ZoneChangeList.ProcessChanges() - processing index=55 change=powerTask=[power=[type=TAG_CHANGE entity=[id=55 cardId=some name=some tag=ZONE_POSITION value=55] complete=False] entity=some id=10 some zone=HAND zonePos=9 player=1 dstPos=8
17:45:49.503 [atcher-3] INFO     tph.LogFileReader - Card Played: [Power] PowerProcessor.DoTaskListForCard() - unhandled BlockType PLAY for sourceEntity [name=Friendly Card Two id=2 zone=PLAY zonePos=7 cardId=.+ player=1]
17:45:49.503 [atcher-3] DEBUG       tph.GameStatus - received handled message HandPositionChange(6,5,1,4)
17:45:49.504 [atcher-3] DEBUG       tph.GameStatus - received handled message HandPositionChange(7,6,1,5)
17:45:49.505 [atcher-6] DEBUG       tph.GameStatus - received handled message HandPositionChange(8,7,1,6)
17:45:49.505 [atcher-6] DEBUG       tph.GameStatus - received handled message HandPositionChange(9,8,1,7)
17:45:49.505 [atcher-6] DEBUG       tph.GameStatus - received handled message HandPositionChange(10,9,1,8)
17:45:49.505 [atcher-6] DEBUG       tph.GameStatus - received handled message CardPlayed(Friendly Card Two,2,7,1)
17:45:53.386 [tcher-11] DEBUG    t.r.ircLogicTests - received handled message Full Test
17:45:53.393 [atcher-8] DEBUG       tph.Controller - received handled message GetGameStatus
17:45:55.393 [tcher-11] DEBUG       tph.Controller - received handled message GetGameStatus
17:45:55.394 [tcher-11] DEBUG       tph.GameStatus - received handled message GetGameStatus
